下第春愁甚 行心道肯难 |Ref:劳君远见招
叠雪走商岭 江风惊往鸣 |Ref:飞波航洞庭
媚川时未识 和马即非非 |Ref:在掌共传名
谁肯爱林泉 禅禅半芳泉 |Ref:从吾老湖上
不应须宠战 何是不亲兵 |Ref:当遂勒金徽
殷勤莫使清香透 牡柳几王白细生 |Ref:牢合金鱼锁桂丛
是非莫分别 风久莫为缘 |Ref:行止无疑碍
是时清楚望 气气明霾<unk> |Ref:气色犹霾曀
百忧非我所 丘子非何然 |Ref:三乐是吾师
有营非了义 无得不闻力 |Ref:无著是真宗
何处陪游胜 城中入在天 |Ref:龙兴古观时
撒盐如可拟 只尽胜在图 |Ref:愿糁和羹梅
召父多遗爱 公公不相听 |Ref:羊公有令名
从来无旧分 一是不新情 |Ref:临去望何恩
青莲香匝东西宇 白杨丝不待君龙 |Ref:日月与僧无尽时
旧乡曾种得 新见忆逢公 |Ref:经乱属谁家
俗富行应乐 官雄禄岂微 |Ref:官雄禄岂微
三秋伤望眼 万日故行头 |Ref:终日哭途穷
细君几日路经此 独上独为得故人 |Ref:应见悲翁相望心
波涛千里隔 梦雨万年遥 |Ref:抱疾亦相寻
喷云泄雾藏半腹 蒸水遗风向消臂 |Ref:虽有绝顶谁能穷
瘦胫高褰梵屟轻 女情游往待夜空 |Ref:野塘风劲锡环鸣
遣充行雨神 理奈故风空 |Ref:雨泽随客意
如何持此将干谒 自得松儿说病归 |Ref:不及公卿一字书
句陈霜骑肃 高洞海华和 |Ref:御道雨师清
山阴何处去 云水落高行 |Ref:草际片帆通
弦管宁容歇 分歌不许新 |Ref:杯盘未许收
青蛇上竹一种色 结塞上莲似相看 |Ref:黄蝶隔溪无限情
夜色迷双树 春声失一声 |Ref:钟声警四邻
路盘暂见樵人火 尘去复知鱼神鸟 |Ref:栈转时闻驿使铃
枕近禁街闻晓鼓 乘回水树带花花 |Ref:月当高竹见栖禽
百口寄安沧海上 万言人作侍山中 |Ref:一身逃难绿林中
草靸无尘心地闲 可君无处春风中 |Ref:静随猿鸟过寒暄
一面雨初歇 关帘风益风 |Ref:九峰云正开
西风虚见逼 粉水净相欺 |Ref:未拟问京师
将相猜贾谊 天夜滞能赋 |Ref:图书归马融
南风不竞多死声 坐坐相偷不明天 |Ref:鼓卧旗折黄云横
小言入无间 何罢在不见 |Ref:大言塞空虚
此乡之人气量窄 细营士壁雁秋偏 |Ref:误竞南风疏北客
潮冲虚阁上 雁破白山中 |Ref:山入暮窗沈
因投竹林寺 得得石根年 |Ref:一问青莲客
醉沈朐岭梦 莫作在江忧 |Ref:吟达寿春城
灭景栖远壑 秋风在高林 |Ref:弦歌对清樽
终断游方念 怀然不远思 |Ref:炉香继此焚
从古无奈何 君今有又曲 |Ref:短歌听一曲
自缘逢暖发 长是是新春 |Ref:不是为人开
春意自知无主惜 春风谁得有人分 |Ref:恣风吹逐马蹄尘
涧谷永不谖 吟歌长未白 |Ref:山梁冀无累
青松带雪悬铜锡 去水峰云是珠珪 |Ref:白发如霜落铁刀
二十年前不系身 饥缘愁外不无人 |Ref:草堂曾与雪为邻
君王指点新丰树 自出出中燕凤京 |Ref:几不亲留七宝鞭
今日流莺来旧处 百般言语殢空枝 |Ref:百般言语泥空枝
终期仙掌下 要事帝人如 |Ref:香火一相亲
宣城去京国 旅马归人闻 |Ref:里数逾三千
烟暝搔愁鬓 含沾白见门 |Ref:春阴赖酒乡
不知今夜月 何处是人人 |Ref:曾照几时人
上人处世界 上地时一宫 |Ref:清净何所似
峰北幽亭愿证因 愚东东扃静成期 |Ref:他生此地却容身
井底有甘泉 非中无相青 |Ref:釜中乃空然
黄昏次汜水 生发生南舟 |Ref:欲过无舟航
长有归心悬马首 世无休里见尘持 |Ref:可堪无寐枕蛩声
谁不有诗机 况将无道力 |Ref:麟龙不解织
能全季布诺 忽惜长烟亭 |Ref:不道鲁连功
安得壮士挽天河 从天尽地摇安端 |Ref:净洗甲兵长不用
应无藏避处 不月浪苍笼 |Ref:只有且欢娱
日暮东风怨啼鸟 天天不情望归人 |Ref:落花犹似堕楼人
日薄蛟龙影 天开虎马随 |Ref:风翻鸟隼文
窃观栖鸟至 常思楚林名 |Ref:疑向鹊桥回
人生感故物 捧事为何年 |Ref:慷慨有馀悲
修绠悬林表 阴山荫玉直 |Ref:深泉汲洞中
村小犬相护 中高不可眠 |Ref:沙平僧独归
小小能织绮 低低解解舟 |Ref:时时出浣纱
燕词如惜别 鱼马如清黎 |Ref:柳意已呈衰
谁家烟径长莓苔 杜里泉中采马花 |Ref:金碧虚栏竹上开
巴路缘云出 蛮乡入木深 |Ref:蛮乡入洞深
边人不敢议 议者死路衢 |Ref:议者死路衢
竹径通城下 松门隔水西 |Ref:松风隔水西
羽客炼丹井 玉干金香树 |Ref:井留人已无
清风日夜高 明我空中远 |Ref:凌云意何已
西南积水远 北北多云生 |Ref:老病喜生归
新浴肢体畅 渐加志气前 |Ref:独寝神魂安
沙馆行帆息 诸关岁里风 |Ref:枫洲候吏还
鬓衰头似雪 鬓别别如疑 |Ref:行步急如风
孤猿更发秋风里 忽马鸣人水悠悠 |Ref:不是愁人亦断肠
五色有名翚 得于光未并 |Ref:清晨挟两雌
忽闻此夜携琴宿 试是登楼见酒台 |Ref:遂叹常时尘吏喧
此时居舟楫 复处入云昏 |Ref:浩荡情无已
竹林既深远 水水亦长长 |Ref:松宇复清虚
千龄人事一朝空 乐士深雪九万微 |Ref:四海为家此路穷
一公住世忘世纷 欲是修心恼事事 |Ref:暂来复去谁能分
十日浓芳一岁程 花烟幽兴一朋思 |Ref:东风初急眼偏明
孤岫龟形在 前门卦子深 |Ref:深泉鳗井开
时看镜中月 凋听石头香 |Ref:独向衣上落
天高未及闻 地吹纷山关 |Ref:荆棘生满地
泉岩雪飘洒 高径风飘旗 |Ref:苔壁锦漫糊
月兔走入海 水出不开户 |Ref:日乌飞出山
回转百里间 落落千中曲 |Ref:青山千万状
何当见颜色 不是有寒关 |Ref:终日劳梦想
今日看嵩洛 开云见洛城 |Ref:回头叹世间
东山芳意须同赏 北向青心莫有愁 |Ref:子看囊盛几日传
我为子谋 身入君谷 |Ref:有万其全
早晚还相见 疑君别有人 |Ref:论诗更及微
御马迷新栈 征鸦动旧林 |Ref:宫娥改旧妆
落英不可攀 去路出东关 |Ref:返照昏澄陂
故仁人用心 终以事闲力 |Ref:刺史尽合符
色借潇湘阔 山连洞露深 |Ref:声驱滟滪深
寥亮掩清笛 秋吹听古霄 |Ref:萦回凌细风
花间醉任黄莺语 醉后愁从不有知 |Ref:亭上吟从白鹭窥
曾和秋雨驱愁入 白日寒风逐觉归 |Ref:却向春风领恨回
闲留幢节低春水 已有松华出象华 |Ref:醉拥笙歌出暮烟
杖摇楚甸三千里 山入吴门一一回 |Ref:鹤翥秦烟几万重
赵瑟多愁曲 胡风如流方 |Ref:秦家足艳妆
閤成似僧居 竹尽随相出 |Ref:学僧居未得
生来始周岁 落落不兵悲 |Ref:学坐未能言
落石早雷鸣 开山不不入 |Ref:溅空春雨细
镜海见纤悉 天舟心细多 |Ref:冰天步飘飖
今朝乌鹊喜 他为白凰知 |Ref:欲报凯歌归
百年双白鬓 一日一红衣 |Ref:一别五秋萤
竹径青苔合 闲房白叶深 |Ref:茶轩白鸟还
杨柳在身垂意绪 藕花落尽见莲心 |Ref:藕花落尽见莲心
湘南飞去日 山北客来多 |Ref:蓟北乍惊秋
