碧水冥空惟鸟飞 青山不见白头飞<eos> |Ref:长天何处云随雨
汉帝诏衔应异日 汉王王子不知名<eos> |Ref:梁王风雪是初筵
寒凉十月末 夜起一山中<eos><eos><eos> |Ref:露霰濛晓昏
不知淮水浊 不见白云间<eos><eos><eos> |Ref:丹藕为谁开
谁能事音律 不得不可知<eos><eos><eos> |Ref:焦尾蔡邕家
岚岭对高斋 山花满山林<eos><eos><eos> |Ref:春流灌蔬壤
青门望离袂 白首何由归<eos><eos><eos> |Ref:魂为阿连销
所怜抱中儿 不得无所为<eos><eos><eos> |Ref:不如山下麑
行路艰难不复歌 一声相送一时归<eos> |Ref:故人荣达我蹉跎
一条灞水清如剑 一马飞云出不足<eos> |Ref:不为离人割断愁
羞闻拊背入 不得作弓飞<eos><eos><eos> |Ref:恨说舞腰轻
朝为杨柳色 暮入石中流<eos><eos><eos> |Ref:暮作芙蓉好
日落川径寒 风流风吹白<eos><eos><eos> |Ref:离心苦未安
以兹保童婴 不得龙虎同<eos><eos><eos> |Ref:永用超形神
怪石时侵径 寒泉色满林<eos><eos><eos> |Ref:轻萝乍拂衣
草树还如旧 山深不可知<eos><eos><eos> |Ref:山河亦在兹
空林闲坐独焚香 一片春风满一杯<eos> |Ref:真官列侍俨成行
因忆莓苔峰 不知天上长<eos><eos><eos> |Ref:初阳濯玄发
低随回风尽 不见春风长<eos><eos><eos> |Ref:远照檐茅赤
八卦三元全藉汞 五年千里不成国<eos> |Ref:五行四象岂离铅
城南百战多苦辛 不知一家无所为<eos> |Ref:路傍死卧黄沙人
津人空守缆 山水有归船<eos><eos><eos> |Ref:村馆复临川
婵娟玉貌二八馀 一杯白玉天南春<eos> |Ref:自怜颜色花不如
夹岸铺长簟 开帘拂水旗<eos><eos><eos> |Ref:当轩泊小舟
一丘常欲卧 一迹不如深<eos><eos><eos> |Ref:三径苦无资
带月栖幽鸟 看花入故人<eos><eos><eos> |Ref:兼花灌冷泉
之子黄金躯 不知白者身<eos><eos><eos> |Ref:如何此荒域
饱尔蛆残腹 不为作成鱼<eos><eos><eos> |Ref:安知天地情
纵目怀青岛 无情在白云<eos><eos><eos> |Ref:澄心想碧流
花间醉任黄莺语 花上春来白日春<eos> |Ref:亭上吟从白鹭窥
聊将横吹笛 不觉风吹鸣<eos><eos><eos> |Ref:一写山水音
闻君已朱绂 不得见君归<eos><eos><eos> |Ref:且得慰蹉跎
花明月暗笼轻雾 月落风流不见风<eos> |Ref:今宵好向郎边去
忆昨始相值 不知无所为<eos><eos><eos> |Ref:值君客贝丘
云晴开螮蝀 月冷滴罗巾<eos><eos><eos> |Ref:棹发起鸬鹚
竹阴行处密 松静夜中深<eos><eos><eos> |Ref:僧腊别来高
封内如太古 天地不相亲<eos><eos><eos> |Ref:时危独萧然
酹酒成坳泽 文章不可亲<eos><eos><eos> |Ref:持兵列偶人
孤烟远树动离心 一片春风入楚楼<eos> |Ref:隔岸江流若千里
明朝又向江头别 不见春风不见春<eos> |Ref:月落潮平是去时
君王若燕去 不得清风起<eos><eos><eos> |Ref:谁为拽车辕
冥冥泉台路 寂寞天地林<eos><eos><eos> |Ref:被业相拘绊
幽居捐世事 不得无所求<eos><eos><eos> |Ref:佳雨散园芳
由来牧守重 不得得贫贫<eos><eos><eos> |Ref:英俊得荐延
但爱清见底 不知不可心<eos><eos><eos> |Ref:欲寻不知源
南山三十里 不见一年春<eos><eos><eos> |Ref:不见逾一旬
有时经暮雨 无得有春风<eos><eos><eos> |Ref:独得倚高楼
雪岭界天白 风林水阴清<eos><eos><eos> |Ref:锦城曛日黄
昔云夏后氏 今日不能行<eos><eos><eos> |Ref:于此藏真经
哀世非王粲 无人不玉卮<eos><eos><eos> |Ref:终然学越吟
诸将莫贪羌族马 一日无知不是人<eos> |Ref:最高层处见边头
新鹰饱肉唯闲猎 大水无人不见人<eos> |Ref:旧剑生衣懒更磨
古都遗庙出河濆 一日无人日不回<eos> |Ref:万代千秋仰圣君
贫病固其常 不得不可得<eos><eos><eos> |Ref:富贵任生涯
朔风悲边草 江水生清凉<eos><eos><eos> |Ref:胡沙暗虏营
唯有西溪叟 相思不相见<eos><eos><eos> |Ref:时时到弊庐
香饭舂菰米 诗僧入石鳞<eos><eos><eos> |Ref:珍蔬折五茄
