沙净有波迹 不深无水声 |Ref:岸平多草烟
故乡多古树 归客有相山 |Ref:落日少行人
不遇销忧日 空知不病时 |Ref:埃尘谁复寻
天边为要留名姓 不上人来入路人 |Ref:拂石殷勤身自题
星坛鸾鹤舞 云海凤龙歌 |Ref:丹灶虎龙蟠
去去行采芝 此来不如草 |Ref:勿为尘所欺
以此论文学 无君不不名 |Ref:终凭一一窥
二月云烟迷柳色 一云风雨落花枝 |Ref:九衢风土带花香
隔水相思在 当风不不归 |Ref:无书也是闲
喧闲迹相背 旷远心相城 |Ref:十里别经旬
若信贝多真实语 须须人得年无情 |Ref:三生同听一楼钟
寒烟陈后长门闭 夜月应前不路通 |Ref:夜雨隋家旧苑空
莲峰掌记韩拾遗 金萝越书鲁如识 |Ref:雁行雍穆世所稀
疏芒唯斗在 幽欲不人轻 |Ref:残白合河迷
细音和角暮 轻气带花秋 |Ref:疏影上门寒
长鸣谢知己 何事何所田 |Ref:所愧非龙媒
自笑中华路 无人不上人 |Ref:年年送远人
七圣斯严 三古为长 |Ref:三君如在
悲猿何处发 归雁一山飞 |Ref:郢路第三声
安得不死药 无人不生人 |Ref:高飞向蓬瀛
海内知名士 天中不姓人 |Ref:交游准上人
关中新月对离尊 江上春风入离筵 |Ref:江上残花待归客
凉风飒穷巷 秋月无远枝 |Ref:秋思满高云
长生不必论贵贱 不死不为何全贫 |Ref:却是幽人骨主灵
昨夜月明浑似水 今朝风落不如人 |Ref:入门唯觉一庭香
子规啼欲死 人子不何生 |Ref:君听固无愁
池塘催谢客 山水见新人 |Ref:花木待春卿
机梭声札札 香笑不如亲 |Ref:牛驴走纭纭
披衣腰不带 一酒眼无尘 |Ref:散发头不巾
饮彼石下流 一不不上客 |Ref:结萝宿溪烟
如何非意中 此我在相中 |Ref:良觌忽在兹
察应均赋敛 礼合削书轻 |Ref:逃必复桑耕
彭咸久沦没 万与无无悲 |Ref:此意与谁论
唯应碧湘浦 不是白云山 |Ref:云落及芙蓉
云门老僧定未起 人门老客不不来 |Ref:白阁道士遥相迎
吐处百里雷 开时千中月 |Ref:泻时千丈壑
饮罢醒馀更惆怅 一来山客满阳台 |Ref:不如闲事不经心
来取图书安枕里 今来君语是时心 |Ref:便驱鸡犬向山行
急濑鸣车轴 孤人入<unk><unk> |Ref:微波漾钓筒
沿流渡楫易 洞上东山难 |Ref:逆浪取花难
捐气入空房 风光入小池 |Ref:无憀乍从容
佳期杨柳陌 春见柳花园 |Ref:携手莫相违
旧国在梦想 新人无心思 |Ref:故人胡且越
招携永感双鱼在 一日长歌一不归 |Ref:报答空知一剑存
石枕冷入脑 石庭明点空 |Ref:笋席寒侵肌
为有趋庭恋 因年出路惊 |Ref:应忘道路赊
移家虽带郭 入处不成舟 |Ref:野径入桑麻
边烽警榆塞 上马鸣蓬旗 |Ref:侠客度桑干
众仙仰灵范 高神临清灵 |Ref:肃驾朝神宗
移床避日依松竹 绕壁穿风入竹花 |Ref:解带当风挂薜萝
朝廷衮职虽多预 不是儒章不不真 |Ref:天下军储不自供
严妆才罢怨春风 红月香风一里中 |Ref:粉墙画壁宋家东
於穆不已 得雍无然 |Ref:裒对斯臻
偶奉纶书莅旭川 便将山树傍秋烟 |Ref:郡楼嘉致尽依然
兴尽凡缘因未晚 春人不得为无人 |Ref:裴回依旧到人间
英雄若神授 神子如人<unk> |Ref:大材济时危
此时与子空归来 不日春人不不来 |Ref:男呻女吟四壁静
才子风流咏晓霞 清人日上望春花 |Ref:倚楼吟住日初斜
为问纲纪掾 不得白灶恩 |Ref:何必使铅刀
缅怀高秋兴 永念无夕趣 |Ref:忽枉清夜作
日布玲珑影 风金洞上光 |Ref:风翻浩荡波
等闲飞鞚秋原上 呼金金屏寒露霏 |Ref:独向寒云试射声
旱日与炎风 秋风不不风 |Ref:枯焦我田亩
耳边要静不得静 头中不寒无不深 |Ref:心里欲闲终未闲
蓬山此去无多路 一水何来不不人 |Ref:青鸟殷勤为探看
渐见风沙暗 空闻海水深 |Ref:萧关欲到时
后先无错杂 时在有团年 |Ref:能否立参差
不须愁落日 不是不无时 |Ref:且愿驻青丝
怅望城阙遥 此思山故郭 |Ref:幽居时序永
红蛮杆拨贴胸前 金凤衣人一眼中 |Ref:移坐当头近御筵
不待蘧生年 何来在水年 |Ref:从此知昔非
业王如云合 气子似云流 |Ref:头低似箭驱
野烟新驿曙 山雨旧城秋 |Ref:残照古山秋
期我良弼 不我我<unk> |Ref:式赞嘉谟
遥嶂侵归日 寒山入去秋 |Ref:长城带晚霞
旧业旋从征赋失 故乡还自滞书归 |Ref:故人多逐乱离空
宋玉事襄王 衡人入古客 |Ref:能为高唐赋
曾为掾吏趋三辅 不是诗人寄一年 |Ref:忆在潼关诗兴多
三军尽回首 一里不相尘 |Ref:皆洒望乡泪
明月好同三径夜 清花犹对一门秋 |Ref:绿杨宜作两家春
绵历已六代 日心何一时 |Ref:兴亡互纷纶
叶县已泥丹灶毕 山山犹落白衣归 |Ref:瀛洲当伴赤松归
宝环纤手捧更飞 罗袖罗眉不不衣 |Ref:翠羽轻裾承不著
磨看粹色何殊玉 一见何人何北云 |Ref:敲有奇声直异金
鼎中龙虎功成后 金里天龙道在中 |Ref:海上三山去不迷
秦氏双蛾久冥漠 汉人三马不清安 |Ref:苏台五马尚踟蹰
向秀闻笛 风空见琴 |Ref:伯牙绝弦
公卿时见赏 王子不相春 |Ref:赐赉难具纪
宸扆亲唯敬 文台乐不前 |Ref:钧衡近匪侵
千金岂不赠 一与不相言 |Ref:五马空踯躅
愁来自觉歌喉咽 喜后谁知舞眉月 |Ref:瘦去谁怜舞掌轻
流光暂出还入地 不得还来不为天 |Ref:使我年少不须臾
端详筮仕蓍 山<unk>惊惊<unk> |Ref:磨拭穿杨镞
烟尘犯雪岭 云月入云河 |Ref:鼓角动江城
入门披彩服 出马有青衣 |Ref:出谷杖红藜
头仍未尽白 心亦已人黄 |Ref:官亦不全卑
风流信多美 日此不不<unk> |Ref:朝夕豫平台
日薄蛟龙影 风深凤凤丛 |Ref:风翻鸟隼文
明发又驱马 不人不上人 |Ref:客思一裴回
徒然酌杯酒 不与不回心 |Ref:不觉散人愁
寄羡蕣华木 应随白桂枝 |Ref:荣名香阁前
暝色入高楼 秋风上远郭 |Ref:有人楼上愁
金吾细仗俨威仪 玉帝清车不精云 |Ref:圣旨凝旒对远夷
西秦百万众 不我无千新 |Ref:戈甲如云屯
客里故人尊酒别 夜中秋月向书流 |Ref:天涯游子弊裘寒
昼乘白虎游三岛 夜得青云到一人 |Ref:夜顶金冠立古坛
远壁秋声虫络丝 寒窗夜色水疏苔 |Ref:入檐新影月低眉
读遍先贤传 分高不不息 |Ref:如君事者稀
林虚宿断雾 山影起明烟 |Ref:磴险挂悬流
半因同醉杏花园 一得风年不一情 |Ref:尘忝鸿炉与铸颜
遗爱永存今似古 老能诗发不如贫 |Ref:高名不朽死如生
树为清凉倚 人因白月思 |Ref:池因盥漱临
欲将此意与君论 不君不君不不来 |Ref:复道秦关尚千里
伊吕代封爵 皇虞国让贫 |Ref:夷齐终身饥
久别猿啼寺 孤来雁上山 |Ref:流年劫逝波
太行青草上白衫 女马不日双金袜 |Ref:匣中章奏密如蚕
本望文字达 不知白人来 |Ref:今因文字穷
繁华照旄钺 瑞气临旌旗 |Ref:荣盛对银黄
更忆前年望 春花一日来 |Ref:孤舟泊大溪
圣朝无弃物 圣物不为人 |Ref:老病已成翁
疏广遗荣去 高深不迹来 |Ref:于公待驷来
空山雨脚随云起 野水风头逐月行 |Ref:古木灯青啸山鬼
还思杜陵圃 不有岘山山 |Ref:离披风雨秋
天锡皇帝 日天仙辅 |Ref:为天下主
未用且求安 不为何所同 |Ref:无猜也不残
桥东桥西好杨柳 一花花袅桃桃花 |Ref:人来人去唱歌行
当时六祖在黄梅 不日三年不不来 |Ref:五百人中眼独开
我亦吏王畿 君君不金人 |Ref:不为名利著
龙在形难掩 云来影不微 |Ref:人来胆易呈
如其听卑 此以心名 |Ref:脱我牢狴
绕坛旧田地 不药新山天 |Ref:给授有等伦
报我之章何璀璨 胡君之马出白尺 |Ref:累累四贯骊龙珠
郡人入夜争馀沥 山树开月上远阳 |Ref:竖子寻源独不闻
黄陵庙前莎草春 青山一日一花春 |Ref:黄陵女儿茜裙新
愿言将亿兆 不化不中都 |Ref:同此共昌延
葛洪及许靖 天子为何同 |Ref:避世常此路
诸儿莫拗成蹊笋 一客新朝作御花 |Ref:从结高笼养凤凰
书生说太苦 不死何何生 |Ref:客路常在目
相忆采君诗作障 一来留酒酒成花 |Ref:自书自勘不辞劳
敢献大司谏 不为天上臣 |Ref:置之铃阁前
晴湖碧云晚 春水青云月 |Ref:暝色空高楼
西归使者骑金虎 北向故人入金龙 |Ref:亸鞚垂鞭唱步虚
天山雪后海风寒 日水青来江月寒 |Ref:横笛偏吹行路难
四个老人三百岁 一年相客一三人 |Ref:人间此会亦应稀
应知四扇灵方在 更有金衣一不衣 |Ref:待取归时绿发生
千闾万井无多事 一水千窗一水树 |Ref:辟户开门向山翠
谁知仙吏去 空见白人人 |Ref:宛与世尘遥
人间无阿童 不上有山子 |Ref:犹唱水中龙
满座他乡别 不君故里情 |Ref:何年此会同
少年无不可 无日不何人 |Ref:行矣莫凄凄
飘飘方寓目 发入不悠心 |Ref:想像见深意
看即曲终留不住 一来白水到人人 |Ref:云飘雨送向阳台
新授铜符未著绯 旧家金首一城城 |Ref:因君装束始光辉
离别莫言关塞远 春人何处梦人归 |Ref:梦魂长在子真家
步屦深林晚 行琴远月空 |Ref:开樽独酌迟
蛾眉返清镜 一发长白花 |Ref:闺中不相识
山无杀草霜 水有一一月 |Ref:水有含沙蜮
白发甘凋丧 青心复苦哀 |Ref:青云亦卷舒
我未九品位 我为五为心 |Ref:君无一囊钱
野寺僧房远 渔山客树深 |Ref:陶潜引客来
星河秋一雁 云日夜千人 |Ref:砧杵夜千家
寒事今牢落 春人不寂流 |Ref:人生亦有初
人事多错迕 人心不可并 |Ref:与君永相望
南图卷云水 东里出云流 |Ref:北拱戴霄汉
赤日千里火 白云一里人 |Ref:火中行子心
