除却醉来开口笑 不知相见一年年<eos> |Ref:世间何事更关身
黔中初罢职 不敢问前乡<eos><eos><eos> |Ref:薄俸亦无残
宝瑟和琴韵 闲吟小酒篇<eos><eos><eos> |Ref:灵妃应乐章
一家同草草 不是故园时<eos><eos><eos> |Ref:排比送君行
马急人忙尘路喧 此声相拜礼章尊<eos> |Ref:几从朝出到黄昏
力小若易制 不知无中鸡<eos><eos><eos> |Ref:价微良易酬
丘轲文之天 不知天地灵<eos><eos><eos> |Ref:代天有馀功
褵褷风声癣 风光雨色微<eos><eos><eos> |Ref:跁跒地方痑
衰叶满栏草 不得看青禽<eos><eos><eos> |Ref:斑毛盈镜霜
估客亲宵语 无人见日惊<eos><eos><eos> |Ref:闲鸥偶昼禅
我从老大来 不知何所得<eos><eos><eos> |Ref:窃慕其为人
不堪思翠巘 野鸟入飞凫<eos><eos><eos> |Ref:西望独沾襟
自天衔瑞图 万里生时中<eos><eos><eos> |Ref:飞下十二楼
故人有斗酒 不得无所亲<eos><eos><eos> |Ref:是夜共君醉
时过欻如云 山倒白纤鼻<eos><eos><eos> |Ref:参差不自意
西岳镇皇京 高楼望天阙<eos><eos><eos> |Ref:中峰入太清
沙头人满鸥应笑 石上松房月自堆<eos> |Ref:船上酒香鱼正肥
塞上蕃僧老 春风雁去频<eos><eos><eos> |Ref:天寒疾上关
层塔题应遍 金舆笔未成<eos><eos><eos> |Ref:飞轩步不慵
空留左氏传 不得此人名<eos><eos><eos> |Ref:谁继卜商名
坐中寻竹客 不得到门时<eos><eos><eos> |Ref:将去更逡巡
朽痈难可吮 归鹤岂能惊<eos><eos><eos> |Ref:枯瘇不堪治
况是会游处 不见不见人<eos><eos><eos> |Ref:桑田小变更
抛来簪绂都如梦 醉把金壶衣病眠<eos> |Ref:泥著杯香不为愁
争奈爱山尤恋阙 一声相送到秋空<eos> |Ref:古来能有几人休
万物茂遂 不得不忘<eos><eos><eos><eos> |Ref:九夷宾王
以兹为报效 不得我里草<eos><eos><eos> |Ref:安敢不躬亲
何地离念剧 不见语心惊<eos><eos><eos> |Ref:江皋风雪时
置陈北堂上 不见一枝开<eos><eos><eos> |Ref:仿像南山前
微风吹霜气 清泠响石边<eos><eos><eos> |Ref:寒影明前除
危檐不敢凭 不得不可论<eos><eos><eos> |Ref:朽机惧倾扑
三叹承汤鼎 无为大厦酬<eos><eos><eos> |Ref:千欢接舜壶
聊当因寤寐 不复见真仙<eos><eos><eos> |Ref:归思浩无涯
满院落花从覆地 一枝欹枕半馀香<eos> |Ref:半檐初日未开关
松乃不臣木 不能知我贤<eos><eos><eos> |Ref:青青独何为
为想雄豪壮柏梁 画衔何必凤凰梁<eos> |Ref:何如俭陋卑茅室
薄劣惭真隐 何人得好诗<eos><eos><eos> |Ref:幽偏得自怡
湘江二月春水平 一夜哀声闻断肠<eos> |Ref:满月和风宜夜行
攒柯初缭绕 春草已阴阴<eos><eos><eos> |Ref:布叶渐蒙笼
日夕望三山 不得不可识<eos><eos><eos> |Ref:云涛空浩浩
于焉日淡泊 不得长离情<eos><eos><eos> |Ref:徒使芳尊盈
荀令见君应问我 人知何处不堪言<eos> |Ref:为言秋草闭门多
唯忧晓鸡唱 风吹落花衣<eos><eos><eos> |Ref:尘里事如麻
是非莫分别 不是不知君<eos><eos><eos> |Ref:行止无疑碍
华顶居最高 不知生死心<eos><eos><eos> |Ref:大壑朝阳早
低垂疑步障 风色似成花<eos><eos><eos> |Ref:吹起作晴虹
归迹归不得 不是是春风<eos><eos><eos> |Ref:舍心舍还争
渐见风沙暗 风光月月清<eos><eos><eos> |Ref:萧关欲到时
氛氲岘首夕 江上玉时春<eos><eos><eos> |Ref:苍翠剡中秋
细泉出石飞难尽 白发满日寒光落<eos> |Ref:孤烛和云湿不明
