BLEU=0.0228, GLEU=0.0320 |poemSMT_lmn3_sm0.050_lmw0.300_be10
BLEU=0.0226, GLEU=0.0329 |poemSMT_lmn3_sm0.100_lmw0.300_be10
BLEU=0.0219, GLEU=0.0337 |poemSMT_lmn2_sm0.100_lmw0.300_be10
BLEU=0.0216, GLEU=0.0357 |poemSMT_lmn2_sm0.500_lmw0.300_be10
BLEU=0.0214, GLEU=0.0348 |poemSMT_lmn3_sm0.500_lmw0.300_be10
BLEU=0.0211, GLEU=0.0318 |poemSMT_lmn2_sm0.050_lmw0.300_be10
BLEU=0.0206, GLEU=0.0349 |poemSMT_lmn3_sm1.000_lmw0.300_be10
BLEU=0.0204, GLEU=0.0352 |poemSMT_lmn2_sm1.000_lmw0.300_be10
BLEU=0.0197, GLEU=0.0299 |poemSMT_lmn3_sm0.050_lmw0.500_be10
BLEU=0.0191, GLEU=0.0298 |poemSMT_lmn3_sm0.100_lmw0.500_be10
BLEU=0.0187, GLEU=0.0296 |poemSMT_lmn2_sm0.050_lmw0.500_be10
BLEU=0.0184, GLEU=0.0301 |poemSMT_lmn2_sm0.100_lmw0.500_be10
BLEU=0.0162, GLEU=0.0292 |poemSMT_lmn2_sm0.500_lmw0.500_be10
BLEU=0.0161, GLEU=0.0278 |poemSMT_lmn3_sm0.500_lmw0.500_be10
BLEU=0.0158, GLEU=0.0312 |poemSMT_lmn3_sm1.000_lmw0.000_be10
BLEU=0.0158, GLEU=0.0312 |poemSMT_lmn2_sm1.000_lmw0.000_be10
BLEU=0.0157, GLEU=0.0283 |poemSMT_lmn2_sm1.000_lmw0.500_be10
BLEU=0.0153, GLEU=0.0268 |poemSMT_lmn3_sm1.000_lmw0.500_be10
BLEU=0.0149, GLEU=0.0294 |poemSMT_lmn3_sm0.500_lmw0.000_be10
BLEU=0.0149, GLEU=0.0294 |poemSMT_lmn2_sm0.500_lmw0.000_be10
BLEU=0.0121, GLEU=0.0245 |poemSMT_lmn3_sm0.100_lmw0.000_be10
BLEU=0.0121, GLEU=0.0245 |poemSMT_lmn2_sm0.100_lmw0.000_be10
BLEU=0.0103, GLEU=0.0218 |poemSMT_lmn3_sm0.050_lmw0.000_be10
BLEU=0.0103, GLEU=0.0218 |poemSMT_lmn2_sm0.050_lmw0.000_be10
BLEU=0.0068, GLEU=0.0146 |poemSMT_lmn2_sm1.000_lmw0.800_be10
BLEU=0.0068, GLEU=0.0151 |poemSMT_lmn3_sm0.050_lmw0.800_be10
BLEU=0.0065, GLEU=0.0147 |poemSMT_lmn3_sm0.100_lmw0.800_be10
BLEU=0.0064, GLEU=0.0130 |poemSMT_lmn2_sm0.500_lmw0.800_be10
BLEU=0.0064, GLEU=0.0123 |poemSMT_lmn2_sm0.050_lmw0.800_be10
BLEU=0.0062, GLEU=0.0119 |poemSMT_lmn2_sm0.100_lmw0.800_be10
BLEU=0.0061, GLEU=0.0142 |poemSMT_lmn3_sm0.500_lmw0.800_be10
BLEU=0.0061, GLEU=0.0141 |poemSMT_lmn3_sm1.000_lmw0.800_be10
